Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Total Ascent,Total Descent,Number of Laps
Cycling,2025-01-22 07:48:00,false,Lunch Ride,42.51,"1,055",1:26:45,148,171,3.3,29.4,218,215,7
Cycling,2025-01-20 10:14:00,false,Lunch Ride,31.21,670,1:02:45,129,158,1.9,29.8,215,201,5
Walking,2025-01-20 08:57:00,false,Walk,3.58,326,0:38:22,114,126,1.1,5.6,22,20,3
Cycling,2025-01-19 06:21:00,false,Morning Ride,24.00,559,0:46:28,144,161,2.5,31.0,109,113,3
Cycling,2025-01-13 07:47:00,false,Morning Ride,30.00,676,1:09:26,143,154,2.7,25.9,355,315,5
Running,2025-01-05 06:29:00,false,Lunch Run,7.82,509,0:44:16,138,156,2.1,5:39,56,48,3
Cycling,2025-01-03 07:13:00,false,Lunch Ride,10.08,286,0:22:49,145,157,2.0,26.5,102,90,1
Cycling,2025-01-01 06:13:00,false,Club Ride,12.55,303,0:25:03,133,155,1.6,30.1,58,57,2
Cycling,2024-12-29 14:28:00,false,Evening Ride,23.17,565,0:50:32,62,75,0.4,27.5,221,200,4
Running,2024-12-28 16:12:00,false,Evening Run,11.18,897,1:10:17,147,168,3.0,6:17,231,253,5
Running,2024-12-28 12:00:00,false,Untitled,0.01,--,0:00:03,--,--,0.0,0.0,--,--,1
Hiking,2024-12-26 14:22:00,false,Hike,14.97,"2,387",3:11:04,88,98,0.9,4.7,971,918,15
Cycling,2024-12-16 19:49:00,false,Evening Ride,36.52,851,1:11:50,62,75,0.4,30.5,279,254,5
Cycling,2024-12-12 08:19:00,false,Lunch Ride,33.69,781,1:07:22,66,75,0.4,30.0,299,316,5
Cycling,2024-12-05 19:10:00,false,Club Ride,23.07,728,0:59:55,72,83,0.4,23.1,322,345,4
Cycling,2024-12-03 09:07:00,false,Lunch Ride,83.85,"1,714",2:27:02,73,78,0.4,34.2,750,768,12
Cycling,2024-12-02 06:42:00,false,Lunch Ride,32.08,744,1:06:40,72,79,0.4,28.9,322,322,5
Running,2024-11-30 18:37:00,false,Morning Run,4.71,191,0:24:32,64,69,0.4,5:12,78,69,2
Running,2024-11-27 16:57:00,false,Long Run,8.90,435,0:52:07,81,94,0.4,5:51,141,134,4
Cycling,2024-11-26 13:12:00,false,Club Ride,41.28,713,1:22:49,81,90,0.5,29.9,462,401,6
Walking,2024-11-24 05:44:00,false,Walk,2.77,312,0:28:02,108,130,0.9,5.9,8,8,2
Hiking,2024-11-19 12:51:00,false,Hike,11.72,"1,837",2:47:34,73,83,0.4,4.2,386,402,13
Hiking,2024-11-16 15:52:00,false,Hike,9.83,"1,473",2:18:53,70,74,0.4,4.2,895,899,11
Running,2024-11-14 08:03:00,false,Morning Run,7.14,461,0:38:16,140,169,2.1,5:22,89,82,3
Cycling,2024-11-12 18:22:00,false,Lunch Ride,56.72,"1,159",1:54:28,87,96,0.7,29.7,689,676,9
Cycling,2024-11-07 17:07:00,false,Evening Ride,59.55,"1,371",1:52:17,69,79,0.4,31.8,691,641,9
Walking,2024-10-28 13:51:00,false,Evening Walk,3.81,579,0:47:04,89,100,0.5,4.9,13,12,3
Cycling,2024-10-25 08:20:00,false,Club Ride,47.52,935,1:31:08,91,103,0.7,31.3,442,505,7
Running,2024-10-24 16:25:00,false,Morning Run,8.01,429,0:48:04,70,84,0.4,6:00,45,50,4
Running,2024-10-23 19:20:00,false,Lunch Run,11.45,759,1:03:26,62,73,0.4,5:32,170,187,5
Running,2024-10-17 19:51:00,false,Long Run,14.19,"1,069",1:23:20,85,94,0.6,5:52,245,224,6
Cycling,2024-10-14 19:51:00,false,Club Ride,57.57,"1,191",1:52:04,85,93,0.6,30.8,314,335,9
Running,2024-10-09 12:10:00,false,Morning Run,4.61,332,0:26:46,134,152,1.7,5:49,46,47,2
Cycling,2024-10-07 06:43:00,false,Lunch Ride,38.40,962,1:19:41,62,71,0.4,28.9,577,624,6
Cycling,2024-10-06 17:46:00,false,Morning Ride,68.58,"1,625",2:37:44,67,74,0.4,26.1,837,859,13
Running,2024-10-05 10:40:00,false,Evening Run,10.40,646,1:00:29,71,76,0.4,5:49,95,97,5
Cycling,2024-10-03 13:36:00,false,Evening Ride,51.73,"1,277",1:43:38,63,74,0.4,30.0,286,273,8
Cycling,2024-10-03 08:53:00,false,Lunch Ride,22.85,337,0:45:24,137,149,2.1,30.2,94,80,3
Running,2024-09-29 08:59:00,false,Evening Run,13.41,541,1:16:30,67,75,0.4,5:42,212,206,6
Running,2024-09-28 06:47:00,false,Morning Run,8.30,552,0:43:24,68,75,0.4,5:14,144,152,3
Cycling,2024-09-27 12:18:00,false,Evening Ride,46.96,784,1:31:51,64,75,0.4,30.7,197,172,7
Cycling,2024-09-27 07:23:00,false,Evening Ride,41.35,"1,036",1:28:03,80,87,0.5,28.2,608,552,7
Running,2024-09-26 07:52:00,false,Evening Run,3.22,259,0:21:17,73,78,0.4,6:36,48,49,1
Cycling,2024-09-25 15:59:00,false,Evening Ride,47.64,"1,353",1:52:43,68,75,0.4,25.4,296,297,9
Walking,2024-09-21 11:01:00,false,Evening Walk,2.78,242,0:30:52,68,78,0.4,5.4,30,28,2
Walking,2024-09-20 05:47:00,false,Evening Walk,6.62,906,1:22:50,64,72,0.4,4.8,37,42,6
Cycling,2024-09-19 13:32:00,false,Morning Ride,51.74,"1,045",1:44:19,80,93,0.5,29.8,258,227,8
Cycling,2024-09-16 15:29:00,false,Evening Ride,22.27,459,0:56:47,69,76,0.4,23.5,304,259,4
Running,2024-09-15 12:00:00,false,Lunch Run,8.42,430,0:51:12,63,69,0.4,6:05,172,176,4
Cycling,2024-09-10 18:06:00,false,Lunch Ride,27.85,831,1:11:21,66,72,0.4,23.4,366,365,5
Cycling,2024-09-07 11:51:00,false,Club Ride,8.72,266,0:22:00,90,94,0.4,23.8,94,96,1
Cycling,2024-09-06 15:04:00,false,Club Ride,54.16,"1,285",1:41:09,63,69,0.4,32.1,359,367,8
Cycling,2024-09-05 15:54:00,false,Evening Ride,44.66,800,1:30:53,80,86,0.5,29.5,255,265,7
Walking,2024-09-04 15:19:00,false,Evening Walk,5.22,344,0:45:43,90,99,0.6,6.8,46,49,3
Hiking,2024-09-03 19:40:00,false,Hike,10.23,"1,815",2:35:11,91,99,0.9,4.0,330,344,12
Running,2024-09-02 18:26:00,false,Long Run,8.58,375,0:43:29,74,86,0.4,5:04,110,109,3
Cycling,2024-09-02 14:42:00,false,Club Ride,21.90,432,0:39:14,140,159,2.1,33.5,214,230,3
Running,2024-08-31 07:06:00,false,Evening Run,6.31,454,0:37:23,62,74,0.4,5:56,80,81,3
Cycling,2024-08-30 15:44:00,false,Club Ride,27.85,626,0:58:46,132,154,2.0,28.4,135,129,4
Cycling,2024-08-28 06:00:00,false,Lunch Ride,43.17,"1,303",1:46:45,133,158,2.5,24.3,500,561,8
Running,2024-08-27 16:59:00,false,Long Run,6.06,420,0:36:27,74,84,0.4,6:01,116,115,3
Cycling,2024-08-27 05:22:00,false,Lunch Ride,29.04,587,1:03:51,68,76,0.4,27.3,385,353,5
Running,2024-08-26 14:58:00,false,Evening Run,8.78,585,0:45:18,76,89,0.4,5:10,154,155,3
Cycling,2024-08-25 10:17:00,false,Club Ride,47.46,726,1:33:24,122,140,1.8,30.5,196,222,7
Walking,2024-08-24 10:43:00,false,Walk,3.35,300,0:38:46,80,85,0.4,5.2,11,11,3
Cycling,2024-08-23 17:59:00,false,Lunch Ride,28.55,634,1:01:00,75,85,0.4,28.1,288,263,5
Cycling,2024-08-23 07:11:00,false,Lunch Ride,39.60,734,1:16:39,63,69,0.4,31.0,248,230,6
Cycling,2024-08-22 12:24:00,false,Morning Ride,61.43,"1,215",1:57:12,124,140,2.1,31.4,266,230,9
Running,2024-08-19 12:53:00,false,Lunch Run,7.39,512,0:43:12,74,88,0.4,5:51,56,62,3
Running,2024-08-18 13:20:00,false,Long Run,6.29,289,0:38:57,143,165,2.3,6:12,53,47,3
Running,2024-08-17 08:35:00,false,Long Run,7.33,476,0:39:16,78,84,0.4,5:21,157,152,3
Running,2024-08-16 05:12:00,false,Morning Run,5.93,359,0:39:53,127,146,1.6,6:44,48,52,3
Running,2024-08-13 12:29:00,false,Lunch Run,9.04,507,0:49:33,149,167,2.8,5:29,92,83,4
Cycling,2024-08-12 18:16:00,false,Morning Ride,10.03,262,0:22:00,65,79,0.4,27.4,129,134,1
Cycling,2024-08-12 15:44:00,false,Club Ride,64.68,"1,095",2:13:48,90,103,0.8,29.0,713,663,11
Cycling,2024-08-09 10:12:00,false,Evening Ride,43.85,"1,029",1:32:56,73,78,0.4,28.3,299,307,7
Cycling,2024-08-09 05:18:00,false,Club Ride,34.80,885,1:17:26,72,85,0.4,27.0,462,449,6
Hiking,2024-08-08 14:10:00,false,Hike,12.29,"1,628",2:27:15,91,103,0.9,5.0,1153,987,12
Walking,2024-08-06 08:22:00,false,Walk,5.14,426,0:59:05,63,70,0.4,5.2,44,38,4
Walking,2024-08-05 12:24:00,false,Evening Walk,3.83,448,0:45:12,90,99,0.6,5.1,35,31,3
Cycling,2024-08-03 11:20:00,false,Lunch Ride,54.84,921,2:00:26,90,94,0.8,27.3,370,347,10
Hiking,2024-07-30 05:13:00,false,Hike,9.27,"1,534",2:24:30,73,80,0.4,3.8,694,655,12
Cycling,2024-07-29 06:18:00,false,Morning Ride,13.25,340,0:28:36,75,79,0.4,27.8,134,151,2
Running,2024-07-27 06:33:00,false,Evening Run,16.84,979,1:26:56,83,89,0.5,5:10,327,359,7
Cycling,2024-07-25 17:33:00,false,Lunch Ride,68.09,"1,387",2:14:21,129,142,2.4,30.4,861,807,11
Cycling,2024-07-23 12:28:00,false,Morning Ride,36.67,"1,198",1:32:23,121,136,1.8,23.8,453,416,7
Cycling,2024-07-22 08:54:00,false,Evening Ride,33.43,782,1:02:24,81,90,0.5,32.1,533,564,5
Cycling,2024-07-21 11:08:00,false,Morning Ride,42.97,668,1:30:02,71,79,0.4,28.6,560,603,7
Cycling,2024-07-21 06:28:00,false,Evening Ride,15.18,317,0:31:44,78,91,0.4,28.7,233,209,2
Cycling,2024-07-20 07:41:00,false,Evening Ride,47.56,801,1:31:15,81,91,0.5,31.3,660,565,7
Running,2024-07-19 13:03:00,false,Long Run,13.77,726,1:16:01,75,86,0.4,5:31,134,122,6
Walking,2024-07-18 19:34:00,false,Walk,2.26,243,0:24:16,65,74,0.4,5.6,21,22,2
Walking,2024-07-17 13:23:00,false,Evening Walk,2.76,258,0:33:08,101,121,0.7,5.0,29,26,2
Running,2024-07-17 11:16:00,false,Evening Run,3.64,177,0:21:52,90,97,0.5,6:00,41,39,1
Running,2024-07-16 18:52:00,false,Evening Run,19.65,"1,146",1:38:17,73,80,0.4,5:00,149,157,8
Cycling,2024-07-15 05:51:00,false,Morning Ride,47.62,993,1:35:39,73,85,0.4,29.9,679,602,7
Running,2024-07-14 08:27:00,false,Long Run,5.74,400,0:35:18,137,164,1.9,6:09,88,100,2
Hiking,2024-07-13 16:34:00,false,Hike,8.65,"1,753",2:28:02,68,76,0.4,3.5,348,299,12
Cycling,2024-07-12 05:11:00,false,Club Ride,41.40,719,1:19:03,84,98,0.6,31.4,182,196,6
Cycling,2024-07-10 15:29:00,false,Evening Ride,38.23,"1,019",1:22:37,83,90,0.5,27.8,329,328,6
Cycling,2024-07-09 19:39:00,false,Morning Ride,37.61,900,1:18:52,78,86,0.4,28.6,489,462,6
Cycling,2024-07-07 19:54:00,false,Evening Ride,10.09,218,0:22:00,83,88,0.4,27.5,130,147,1
Cycling,2024-07-06 15:55:00,false,Evening Ride,73.54,"1,953",2:35:19,127,150,2.4,28.4,393,421,12
Cycling,2024-07-05 08:31:00,false,Morning Ride,60.14,"1,241",2:05:17,141,156,3.1,28.8,513,500,10
Walking,2024-07-04 06:30:00,false,Evening Walk,5.69,513,0:54:47,71,85,0.4,6.2,51,50,4
Walking,2024-07-03 07:36:00,false,Walk,5.02,407,0:51:12,84,90,0.5,5.9,41,45,4
Running,2024-07-02 19:19:00,false,Long Run,11.98,668,1:11:07,66,75,0.4,5:56,59,68,5
Hiking,2024-06-30 19:50:00,false,Hike,4.69,543,1:01:14,76,83,0.4,4.6,332,363,5
Walking,2024-06-28 16:17:00,false,Evening Walk,4.51,413,0:57:48,67,72,0.4,4.7,15,15,4
Running,2024-06-27 10:44:00,false,Long Run,11.62,820,1:09:40,150,168,3.1,6:00,212,241,5
Hiking,2024-06-26 10:07:00,false,Hike,10.51,"2,022",2:37:21,78,89,0.6,4.0,843,847,13
Running,2024-06-26 09:01:00,false,Evening Run,4.88,251,0:26:41,143,156,2.0,5:28,67,67,2
Hiking,2024-06-25 09:18:00,false,Hike,6.34,"1,017",1:43:05,129,145,2.2,3.7,540,584,8
Cycling,2024-06-24 06:33:00,false,Evening Ride,16.03,278,0:34:47,89,100,0.5,27.6,163,157,2
Walking,2024-06-22 16:25:00,false,Evening Walk,5.76,578,0:59:06,87,99,0.6,5.8,62,59,4
Cycling,2024-06-18 06:11:00,false,Club Ride,41.11,751,1:23:51,71,77,0.4,29.4,219,190,6
Cycling,2024-06-15 07:27:00,false,Lunch Ride,40.48,849,1:13:17,84,97,0.5,33.1,162,173,6
Cycling,2024-06-14 08:39:00,false,Lunch Ride,14.67,256,0:30:03,76,89,0.4,29.3,93,89,2
Cycling,2024-06-13 06:54:00,false,Lunch Ride,68.75,"1,539",2:22:10,133,145,2.7,29.0,780,784,11
Cycling,2024-06-11 15:01:00,false,Club Ride,62.19,901,2:00:18,82,87,0.6,31.0,988,1102,10
Cycling,2024-06-08 15:30:00,false,Lunch Ride,49.60,"1,167",1:44:52,136,164,2.7,28.4,594,662,8
Cycling,2024-06-07 13:13:00,false,Evening Ride,14.73,307,0:35:17,76,87,0.4,25.1,168,146,2
Cycling,2024-06-05 16:43:00,false,Lunch Ride,49.17,831,1:41:32,63,68,0.4,29.1,750,642,8
Cycling,2024-06-04 11:42:00,false,Morning Ride,52.84,"1,285",1:40:08,76,86,0.4,31.7,766,821,8
Cycling,2024-06-02 09:28:00,false,Club Ride,22.33,505,0:51:28,143,164,2.5,26.0,181,205,4
Running,2024-06-01 18:37:00,false,Evening Run,9.61,591,1:01:04,65,72,0.4,6:21,135,155,5
Running,2024-06-01 17:13:00,false,Lunch Run,2.85,179,0:16:00,143,158,1.7,5:37,35,39,1
Cycling,2024-05-30 18:11:00,false,Lunch Ride,34.29,532,1:13:51,63,75,0.4,27.9,286,272,6
Cycling,2024-05-28 12:57:00,false,Evening Ride,47.49,823,1:48:32,70,79,0.4,26.3,336,351,9
Walking,2024-05-27 16:25:00,false,Walk,3.45,564,0:46:30,82,93,0.4,4.5,34,38,3
Hiking,2024-05-26 14:04:00,false,Hike,4.90,"1,002",1:23:58,74,86,0.4,3.5,369,414,6
Cycling,2024-05-25 14:22:00,false,Morning Ride,25.08,489,0:50:06,125,137,1.6,30.0,298,329,4
Cycling,2024-05-24 11:46:00,false,Lunch Ride,24.28,580,0:47:57,84,94,0.5,30.4,157,156,3
Cycling,2024-05-22 16:43:00,false,Evening Ride,42.18,930,1:22:47,80,85,0.5,30.6,532,581,6
Running,2024-05-19 06:05:00,false,Lunch Run,9.56,453,0:51:38,69,76,0.4,5:24,180,192,4
Running,2024-05-17 15:47:00,false,Evening Run,6.77,359,0:40:10,75,83,0.4,5:56,131,126,3
Running,2024-05-13 18:31:00,false,Lunch Run,2.63,189,0:16:00,62,67,0.4,6:05,34,34,1
Cycling,2024-05-12 13:40:00,false,Morning Ride,52.23,"1,137",1:40:26,73,83,0.4,31.2,725,779,8
Hiking,2024-05-11 11:31:00,false,Hike,10.84,"1,249",2:45:04,80,87,0.6,3.9,649,605,13
Cycling,2024-05-10 13:08:00,false,Morning Ride,68.23,"1,363",2:16:12,88,98,0.7,30.1,605,514,11
Running,2024-05-09 12:05:00,false,Evening Run,2.67,153,0:16:00,91,99,0.4,5:59,33,37,1
Cycling,2024-05-08 17:06:00,false,Evening Ride,29.33,563,1:00:52,86,99,0.5,28.9,276,242,5
Running,2024-05-07 15:33:00,false,Evening Run,4.49,247,0:24:28,75,80,0.4,5:27,35,39,2
Running,2024-05-05 11:30:00,false,Long Run,5.00,251,0:21:59,175,182,3.5,4:24,134,145,1
Running,2024-05-03 14:53:00,false,Long Run,8.87,403,0:50:48,149,164,2.8,5:44,90,81,4
Hiking,2024-05-02 15:26:00,false,Hike,7.29,741,1:44:22,83,96,0.6,4.2,305,290,8
Walking,2024-05-01 11:23:00,false,Evening Walk,3.33,346,0:37:15,90,103,0.5,5.4,37,39,3
Walking,2024-04-28 18:42:00,false,Walk,4.46,515,0:41:16,100,123,0.8,6.5,9,9,3
Running,2024-04-25 17:59:00,false,Lunch Run,3.91,280,0:22:44,144,172,2.0,5:49,80,87,1
Cycling,2024-04-24 10:13:00,false,Lunch Ride,79.32,"1,649",2:27:22,79,87,0.6,32.3,1253,1182,12
Cycling,2024-04-22 05:57:00,false,Lunch Ride,59.46,"1,379",1:57:50,70,77,0.4,30.3,666,580,9
Cycling,2024-04-15 18:15:00,false,Lunch Ride,50.57,"1,069",1:42:49,69,75,0.4,29.5,786,798,8
Running,2024-04-14 16:17:00,false,Long Run,16.12,905,1:24:23,68,80,0.4,5:14,155,133,7
Running,2024-04-12 13:57:00,false,Long Run,12.56,865,1:11:53,75,82,0.4,5:43,248,230,5
Walking,2024-04-08 14:35:00,false,Evening Walk,2.89,332,0:32:04,92,112,0.5,5.4,25,28,2
Cycling,2024-04-06 18:07:00,false,Lunch Ride,21.05,495,0:46:35,76,88,0.4,27.1,132,134,3
Running,2024-04-05 12:00:00,false,Untitled,0.01,--,0:00:81,--,--,0.0,0.0,--,--,1
Cycling,2024-04-04 18:41:00,false,Morning Ride,40.42,"1,029",1:21:44,87,93,0.6,29.7,378,388,6
Cycling,2024-04-02 12:00:00,false,Untitled,0.01,--,0:00:109,--,--,0.0,0.0,--,--,1
Running,2024-03-31 13:34:00,false,Lunch Run,3.38,220,0:18:17,72,79,0.4,5:25,69,63,1
Hiking,2024-03-27 06:13:00,false,Hike,7.67,"1,084",1:28:25,69,82,0.4,5.2,450,419,7
Cycling,2024-03-23 16:33:00,false,Lunch Ride,43.67,"1,208",1:35:11,68,75,0.4,27.5,671,624,7
Running,2024-03-22 13:49:00,false,Morning Run,9.72,749,0:58:07,62,67,0.4,5:59,197,186,4
Cycling,2024-03-22 05:23:00,false,Evening Ride,40.14,658,1:11:14,112,135,1.3,33.8,537,515,5
Running,2024-03-21 12:56:00,false,Evening Run,9.11,510,0:55:55,89,95,0.6,6:08,187,162,4
Cycling,2024-03-20 07:41:00,false,Morning Ride,66.99,"1,517",2:05:39,129,150,2.4,32.0,344,320,10
Cycling,2024-03-17 16:25:00,false,Evening Ride,18.49,372,0:33:57,89,101,0.5,32.7,87,90,2
Cycling,2024-03-16 11:38:00,false,Club Ride,10.15,204,0:22:00,71,77,0.4,27.7,121,113,1
Walking,2024-03-15 15:15:00,false,Evening Walk,4.87,425,0:52:38,81,90,0.4,5.6,50,49,4
Walking,2024-03-15 13:06:00,false,Evening Walk,3.80,462,0:44:51,91,105,0.6,5.1,41,43,3
Cycling,2024-03-13 18:24:00,false,Club Ride,30.56,705,1:08:57,67,79,0.4,26.6,130,129,5
Cycling,2024-03-10 18:44:00,false,Club Ride,37.22,753,1:13:15,67,74,0.4,30.5,197,185,6
Cycling,2024-03-07 15:50:00,false,Morning Ride,76.23,"1,578",2:15:24,110,137,1.5,33.8,926,862,11
Cycling,2024-03-06 13:16:00,false,Evening Ride,38.81,885,1:14:04,85,89,0.6,31.4,315,291,6
Cycling,2024-03-05 08:06:00,false,Lunch Ride,39.22,770,1:21:51,71,76,0.4,28.8,566,588,6
Cycling,2024-03-01 10:35:00,false,Evening Ride,22.04,472,0:42:56,62,71,0.4,30.8,248,227,3
Running,2024-02-28 05:00:00,false,Lunch Run,20.54,"1,114",1:43:06,81,88,0.5,5:01,409,433,8
Cycling,2024-02-26 09:18:00,false,Evening Ride,65.90,"1,371",1:58:05,75,87,0.4,33.5,1051,1026,9
Cycling,2024-02-22 15:24:00,false,Morning Ride,21.75,340,0:44:57,80,90,0.4,29.0,184,176,3
Cycling,2024-02-21 10:40:00,false,Morning Ride,17.55,405,0:33:49,136,160,1.9,31.1,241,247,2
Cycling,2024-02-13 11:52:00,false,Evening Ride,24.62,622,0:53:28,83,89,0.5,27.6,216,223,4
Cycling,2024-02-11 15:36:00,false,Lunch Ride,59.80,804,1:45:27,90,97,0.7,34.0,676,714,8
Running,2024-02-09 17:16:00,false,Long Run,2.76,146,0:16:00,74,84,0.4,5:47,59,53,1
Walking,2024-02-08 10:57:00,false,Evening Walk,0.88,104,0:12:00,101,124,0.5,4.4,7,7,1
Running,2024-02-07 13:16:00,false,Morning Run,5.83,261,0:34:02,149,162,2.5,5:50,50,44,2
Running,2024-02-05 18:38:00,false,Evening Run,7.95,374,0:43:09,76,84,0.4,5:26,78,88,3
Cycling,2024-02-01 17:45:00,false,Morning Ride,56.59,"1,194",1:59:56,77,88,0.5,28.3,716,699,9
Cycling,2024-01-29 14:13:00,false,Club Ride,43.79,677,1:23:19,81,91,0.5,31.5,226,216,6
Cycling,2024-01-25 07:33:00,false,Club Ride,10.20,272,0:22:00,124,138,1.2,27.8,61,54,1
Hiking,2024-01-22 19:40:00,false,Hike,8.38,"1,223",1:57:24,88,99,0.7,4.3,696,604,9
Cycling,2024-01-21 17:35:00,false,Morning Ride,64.03,"1,131",2:01:08,65,74,0.4,31.7,712,758,10
Cycling,2024-01-17 07:41:00,false,Morning Ride,12.07,198,0:22:00,81,85,0.4,32.9,181,162,1
Cycling,2024-01-16 13:50:00,false,Lunch Ride,47.86,883,1:25:09,65,71,0.4,33.7,580,496,7
Running,2024-01-13 09:43:00,false,Lunch Run,11.86,585,1:07:20,91,103,0.7,5:41,126,114,5
Cycling,2024-01-06 06:41:00,false,Lunch Ride,27.42,715,1:06:37,74,86,0.4,24.7,345,355,5
Cycling,2024-01-01 13:53:00,false,Club Ride,33.31,600,1:08:20,63,74,0.4,29.2,178,188,5
Cycling,2023-12-31 15:54:00,false,Lunch Ride,35.14,984,1:19:07,136,155,2.4,26.7,487,455,6
Cycling,2023-12-30 11:25:00,false,Lunch Ride,30.49,953,1:13:49,117,136,1.5,24.8,427,427,6
Running,2023-12-28 09:16:00,false,Evening Run,14.16,624,1:17:14,121,143,1.7,5:27,303,289,6
Cycling,2023-12-27 18:40:00,false,Evening Ride,67.54,"1,209",2:27:24,143,166,3.5,27.5,768,671,12
Cycling,2023-12-26 12:40:00,false,Morning Ride,37.37,773,1:10:34,139,162,2.5,31.8,313,349,5
Hiking,2023-12-25 18:30:00,false,Hike,10.56,"1,244",2:38:42,130,150,2.6,4.0,464,532,13
Running,2023-12-25 17:16:00,false,Evening Run,10.33,469,0:56:23,131,154,1.9,5:27,155,176,4
Cycling,2023-12-21 19:46:00,false,Morning Ride,40.84,767,1:29:31,97,124,0.9,27.4,280,252,7
Cycling,2023-12-19 09:39:00,false,Evening Ride,63.97,"1,118",2:04:24,130,147,2.4,30.9,742,637,10
Cycling,2023-12-16 10:00:00,false,Lunch Ride,27.13,561,0:54:40,129,142,1.8,29.8,283,262,4
Running,2023-12-11 13:27:00,false,Morning Run,14.08,754,1:07:36,146,161,2.9,4:48,196,210,5
Cycling,2023-12-10 08:03:00,false,Evening Ride,38.99,709,1:20:58,129,143,2.1,28.9,512,513,6
Cycling,2023-12-05 10:39:00,false,Club Ride,34.23,693,1:16:58,106,127,1.1,26.7,484,433,6
Cycling,2023-12-05 08:50:00,false,Club Ride,10.41,254,0:22:00,128,153,1.3,28.4,158,181,1
Cycling,2023-12-04 19:17:00,false,Evening Ride,27.71,489,0:50:58,134,148,2.0,32.6,118,132,4
Cycling,2023-12-04 11:10:00,false,Evening Ride,73.82,"1,762",2:17:06,137,166,2.9,32.3,635,638,11
Cycling,2023-12-02 11:14:00,false,Evening Ride,9.97,224,0:22:00,136,165,1.6,27.2,158,171,1
Cycling,2023-11-30 16:04:00,false,Lunch Ride,11.17,220,0:23:31,132,153,1.5,28.5,105,104,1
Cycling,2023-11-27 17:28:00,false,Club Ride,15.71,292,0:26:52,134,151,1.6,35.1,189,183,2
Cycling,2023-11-25 17:35:00,false,Club Ride,20.96,366,0:45:37,114,126,1.2,27.6,161,176,3
Running,2023-11-21 10:54:00,false,Long Run,9.75,532,0:48:17,142,158,2.4,4:57,88,77,4
Walking,2023-11-17 15:49:00,false,Walk,2.37,204,0:27:03,99,113,0.6,5.3,18,18,2
Cycling,2023-11-15 19:18:00,false,Club Ride,27.55,519,0:52:09,125,144,1.6,31.7,228,209,4
Cycling,2023-11-15 16:42:00,false,Lunch Ride,48.41,898,1:30:27,138,167,2.7,32.1,469,503,7
Running,2023-11-13 17:05:00,false,Evening Run,9.81,538,0:57:55,146,160,2.7,5:54,78,70,4
Cycling,2023-11-11 15:28:00,false,Morning Ride,63.21,"1,092",1:54:19,111,125,1.5,33.2,958,969,9
Running,2023-11-10 11:28:00,false,Morning Run,4.37,220,0:23:11,159,170,2.6,5:18,31,28,1
Cycling,2023-11-09 08:20:00,false,Lunch Ride,45.41,691,1:21:54,124,140,1.8,33.3,189,179,6
Running,2023-11-07 12:02:00,false,Evening Run,8.49,343,0:43:18,139,164,2.1,5:06,137,137,3
Cycling,2023-11-06 16:10:00,false,Evening Ride,30.80,549,1:08:28,129,156,2.0,27.0,265,276,5
Cycling,2023-11-04 05:13:00,false,Morning Ride,27.05,504,0:57:54,141,162,2.4,28.0,387,413,4
Cycling,2023-11-03 18:52:00,false,Evening Ride,55.35,"1,189",1:56:11,126,146,2.1,28.6,856,858,9
Cycling,2023-11-02 14:06:00,false,Evening Ride,48.06,"1,296",1:40:23,131,145,2.4,28.7,450,405,8
Cycling,2023-10-27 16:02:00,false,Club Ride,28.51,716,0:58:07,121,143,1.5,29.4,435,400,4
Walking,2023-10-27 07:11:00,false,Walk,3.46,371,0:41:45,101,127,0.8,5.0,32,33,3
Running,2023-08-26 07:29:00,false,Lunch Run,6.71,326,0:37:46,142,154,2.2,5:38,143,162,3
Cycling,2023-08-24 08:11:00,false,Evening Ride,54.35,"1,102",1:56:51,130,149,2.4,27.9,568,587,9
Cycling,2023-08-22 08:44:00,false,Morning Ride,47.39,827,1:29:21,131,161,2.3,31.8,349,313,7
Running,2023-08-21 13:37:00,false,Evening Run,16.76,"1,040",1:21:25,129,142,2.1,4:52,224,228,6
Walking,2023-08-19 14:49:00,false,Walk,3.47,340,0:43:56,99,110,0.8,4.7,38,36,3
Running,2023-08-18 18:54:00,false,Long Run,5.53,309,0:29:15,144,156,2.1,5:18,103,100,2
Cycling,2023-08-17 06:18:00,false,Lunch Ride,65.33,"1,076",2:14:54,128,144,2.4,29.1,437,470,11
Running,2023-08-16 15:02:00,false,Morning Run,4.85,290,0:24:38,166,187,3.1,5:05,70,75,2
Cycling,2023-08-15 19:11:00,false,Morning Ride,12.74,192,0:22:00,124,145,1.2,34.7,155,149,1
Cycling,2023-08-14 08:57:00,false,Evening Ride,70.93,994,2:04:27,115,127,1.7,34.2,785,849,10
Running,2023-08-14 07:49:00,false,Morning Run,4.49,289,0:24:56,134,152,1.6,5:33,82,87,2
Cycling,2023-08-13 10:18:00,false,Morning Ride,23.65,536,0:49:51,132,146,1.9,28.5,351,330,4
Cycling,2023-08-12 11:45:00,false,Club Ride,11.29,223,0:22:00,96,125,0.5,30.8,112,108,1
Running,2023-08-10 05:36:00,false,Long Run,6.89,368,0:38:03,153,171,2.8,5:31,95,109,3
Running,2023-08-07 05:11:00,false,Lunch Run,9.95,665,0:58:41,159,180,3.5,5:54,141,156,4
